Provider_name,Department,Researcher_Type,Profile_link,Provider_all_top_concepts,This_Concept,Publication_num,Pub_Range,Range_length,Last_Pub_year,Average
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline,Islets of Langerhans,9, 2005-2011,6,2011,2008
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Islets of Langerhans Transplantation,20, 2005-2012,7,2012,2008
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Caspase Inhibitors,5, 2007-2012,5,2012,2009
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Graft Survival,19, 2005-2021,16,2021,2014
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Graft Rejection,11, 2007-2022,15,2022,2015
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Liver,9, 2001-2022,21,2022,2018
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Tissue and Organ Procurement,6, 2007-2022,15,2022,2018
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Biomedical Research,7, 2015-2021,6,2021,2018
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Surgeons,4, 2015-2021,6,2021,2019
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Organ Transplantation,3, 2015-2022,7,2022,2019
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Liver Diseases,4, 2020-2021,1,2021,2020
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Liver Transplantation,33, 2010-2022,12,2022,2020
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Fontan Procedure,3, 2020-2021,1,2021,2020
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline," Anemia, Sickle Cell",3, 2020-2021,1,2021,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Living Donors,14, 2019-2022,3,2022,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline," Heart Defects, Congenital",3, 2020-2021,1,2021,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Kidney Transplantation,4, 2020-2022,2,2022,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Awards and Prizes,4, 2020-2021,1,2021,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Career Mobility,2, 2021-2021,1,2021,2021
Juliet Ann Emamaullee,Surgery,Assistant Professor,https://researcherprofiles.org/profile/197144,https://profiles.sc-ctsi.org/display/197144/network/researchareas/timeline, Transplants,1, 2022-2022,1,2022,2022
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline,Alcohol-Related Disorders,1, 2017-2017,1,2017,2017
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Secondary Prevention,1, 2017-2017,1,2017,2017
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Alcohol Abstinence,5, 2017-2020,3,2020,2018
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline," Hepatitis, Alcoholic",7, 2017-2020,3,2020,2018
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Clinical Coding,1, 2019-2019,1,2019,2019
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Time-to-Treatment,1, 2019-2019,1,2019,2019
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Alcohol Drinking,6, 2018-2022,4,2022,2019
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, End Stage Liver Disease,2, 2019-2020,1,2020,2019
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Liver Transplantation,14, 2017-2022,5,2022,2019
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Undocumented Immigrants,1, 2020-2020,1,2020,2020
